                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4556,                 1.5253,                  1.777,                0.60194,                0.61968,                 0.5105,                0.24703,                 1.6999,                 1.7818,                 2.3543,             0.00066512,             0.00066512,             0.00066512
                      2,                 1.5284,                  1.553,                 1.8305,                0.75659,                0.62572,                0.69698,                0.34134,                 1.6996,                 1.6272,                  2.277,              0.0013098,              0.0013098,              0.0013098
                      3,                 1.4603,                 1.4368,                 1.7772,                0.78402,                0.69148,                0.75409,                 0.4168,                 1.4956,                 1.2841,                 2.0522,              0.0019325,              0.0019325,              0.0019325
                      4,                 1.4075,                 1.3447,                 1.7301,                0.75062,                0.63467,                0.69488,                0.37123,                 1.5903,                 1.4087,                 2.1818,               0.001901,               0.001901,               0.001901
                      5,                 1.3638,                 1.2455,                 1.6975,                0.83968,                0.69332,                0.79744,                0.45893,                 1.4569,                 1.1089,                 1.9862,               0.001868,               0.001868,               0.001868
                      6,                 1.3049,                  1.189,                 1.6602,                0.79196,                0.70787,                0.78532,                0.47735,                 1.2936,                 1.3474,                 1.8148,               0.001835,               0.001835,               0.001835
                      7,                 1.2859,                  1.144,                 1.6377,                0.88368,                0.78923,                0.87396,                0.55323,                 1.2375,                0.89751,                 1.7599,               0.001802,               0.001802,               0.001802
                      8,                  1.241,                  1.074,                 1.6091,                0.84558,                0.75899,                0.85033,                0.53882,                 1.2354,                0.97673,                 1.7568,               0.001769,               0.001769,               0.001769
                      9,                 1.2375,                 1.0552,                 1.5981,                0.90389,                0.79899,                0.88877,                0.57783,                 1.2193,                0.85985,                 1.7341,               0.001736,               0.001736,               0.001736
                     10,                 1.2045,                  1.015,                 1.5708,                0.89495,                 0.8044,                0.88583,                0.57791,                 1.1903,                0.83989,                 1.7057,               0.001703,               0.001703,               0.001703
                     11,                  1.205,                0.97655,                 1.5725,                0.90046,                0.80658,                0.89284,                 0.5812,                 1.2056,                0.79524,                 1.7205,                0.00167,                0.00167,                0.00167
                     12,                 1.1844,                0.96709,                  1.557,                0.89813,                0.82351,                0.90272,                0.59472,                 1.1704,                 0.7881,                 1.6807,               0.001637,               0.001637,               0.001637
                     13,                 1.1644,                0.93989,                  1.536,                 0.9025,                0.82614,                 0.9067,                0.60087,                 1.1388,                0.77323,                 1.6624,               0.001604,               0.001604,               0.001604
                     14,                 1.1597,                0.91898,                 1.5318,                0.90288,                 0.8435,                0.91778,                 0.6182,                 1.1189,                0.72224,                 1.6258,               0.001571,               0.001571,               0.001571
                     15,                 1.1453,                0.89518,                 1.5216,                0.91195,                0.84298,                0.91748,                 0.6351,                 1.0869,                0.71623,                 1.5868,               0.001538,               0.001538,               0.001538
                     16,                 1.1279,                0.88542,                 1.5093,                0.88359,                0.85455,                0.91853,                0.63213,                 1.0743,                0.74057,                  1.582,               0.001505,               0.001505,               0.001505
                     17,                 1.1234,                0.86944,                 1.5049,                0.92918,                0.85613,                0.93123,                0.64499,                 1.0631,                0.64941,                 1.5831,               0.001472,               0.001472,               0.001472
                     18,                 1.1041,                0.85297,                 1.4923,                0.91303,                0.86533,                0.93011,                 0.6395,                 1.0588,                0.66282,                 1.5714,               0.001439,               0.001439,               0.001439
                     19,                 1.0938,                0.83787,                 1.4812,                0.94079,                0.86923,                0.93841,                0.66409,                 1.0189,                0.62269,                 1.5349,               0.001406,               0.001406,               0.001406
                     20,                  1.096,                0.82552,                 1.4807,                0.92097,                0.86134,                0.93286,                0.65571,                 1.0308,                 0.6334,                 1.5356,               0.001373,               0.001373,               0.001373
                     21,                 1.0766,                0.81574,                 1.4676,                0.93098,                0.87138,                0.93937,                0.66593,                 1.0024,                 0.6166,                 1.5186,                0.00134,                0.00134,                0.00134
                     22,                  1.066,                0.79966,                  1.457,                0.93106,                0.87734,                0.94254,                 0.6735,                 1.0133,                0.59897,                 1.5208,               0.001307,               0.001307,               0.001307
                     23,                 1.0727,                0.79533,                 1.4618,                0.93523,                0.88105,                0.94448,                0.67683,                 1.0023,                0.58238,                 1.5159,               0.001274,               0.001274,               0.001274
                     24,                 1.0514,                0.78252,                 1.4536,                0.93758,                0.88716,                0.94995,                0.67457,                0.99758,                0.58128,                  1.503,               0.001241,               0.001241,               0.001241
                     25,                 1.0481,                0.76908,                  1.438,                0.93911,                0.88837,                0.95101,                0.68537,                0.96649,                0.58105,                 1.4807,               0.001208,               0.001208,               0.001208
                     26,                 1.0307,                0.74902,                 1.4306,                0.92721,                0.88447,                0.94904,                0.67693,                0.98538,                0.59106,                  1.492,               0.001175,               0.001175,               0.001175
                     27,                 1.0324,                0.75164,                 1.4323,                0.94213,                 0.8848,                0.95585,                0.68493,                0.97148,                0.56576,                 1.4805,               0.001142,               0.001142,               0.001142
                     28,                  1.024,                0.73645,                 1.4259,                0.94065,                0.89637,                0.95246,                0.68965,                0.96193,                0.54538,                 1.4835,               0.001109,               0.001109,               0.001109
                     29,                 1.0124,                0.72988,                  1.414,                0.94551,                 0.9011,                 0.9574,                0.69386,                0.96145,                0.53815,                 1.4725,               0.001076,               0.001076,               0.001076
                     30,                 1.0071,                0.71459,                 1.4152,                0.94595,                0.90479,                0.95941,                 0.7017,                 0.9443,                0.51733,                 1.4615,               0.001043,               0.001043,               0.001043
                     31,                0.98894,                0.70779,                 1.3994,                0.94992,                0.90084,                0.95821,                0.70469,                0.93373,                0.52437,                 1.4454,                0.00101,                0.00101,                0.00101
                     32,                 0.9997,                0.70663,                 1.4089,                0.94802,                0.90032,                0.95668,                0.69953,                0.94906,                 0.5248,                 1.4506,               0.000977,               0.000977,               0.000977
                     33,                 0.9848,                0.68722,                  1.392,                 0.9596,                0.90321,                0.96195,                0.70839,                0.93499,                0.51677,                 1.4389,               0.000944,               0.000944,               0.000944
                     34,                0.98252,                0.69303,                 1.3905,                0.95325,                0.90479,                0.95869,                0.71165,                0.92566,                 0.5152,                 1.4312,               0.000911,               0.000911,               0.000911
                     35,                0.96476,                0.68061,                 1.3757,                 0.9547,                0.90163,                0.95726,                0.71409,                0.91957,                0.50846,                 1.4307,               0.000878,               0.000878,               0.000878
                     36,                0.96765,                 0.6724,                 1.3815,                 0.9532,                0.91074,                0.96275,                 0.7175,                0.91607,                0.49247,                 1.4214,               0.000845,               0.000845,               0.000845
                     37,                 0.9509,                0.65623,                 1.3712,                0.95547,                0.90742,                 0.9655,                 0.7242,                0.89259,                0.47966,                 1.4029,               0.000812,               0.000812,               0.000812
                     38,                0.94598,                0.65696,                 1.3626,                0.95559,                0.91125,                0.96255,                0.72326,                0.89838,                0.48591,                 1.4076,               0.000779,               0.000779,               0.000779
                     39,                0.93595,                0.64004,                 1.3541,                0.94901,                0.91662,                0.96549,                0.72208,                0.91148,                0.48533,                 1.4134,               0.000746,               0.000746,               0.000746
                     40,                0.92631,                0.63545,                 1.3484,                0.95287,                0.91794,                0.96558,                0.72343,                0.89375,                0.47147,                 1.4045,               0.000713,               0.000713,               0.000713
                     41,                0.92262,                0.62775,                 1.3451,                0.95747,                 0.9177,                0.96679,                0.72921,                0.88346,                0.46755,                 1.3976,                0.00068,                0.00068,                0.00068
